year,month,day,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_mean_3,sin_week,cos_week
2019,4,13,13.0,14.0,19.0,17.0,13.0,6.0,10.0,13.428571428571429,13.0,-0.9749279121818236,-0.2225209339563146
2019,4,14,12.0,13.0,14.0,19.0,17.0,13.0,6.0,13.571428571428571,10.666666666666666,-0.7818314824680299,0.6234898018587334
2019,4,15,7.0,12.0,13.0,14.0,19.0,17.0,13.0,13.857142857142858,11.333333333333334,0.0,1.0
2019,4,16,15.0,7.0,12.0,13.0,14.0,19.0,17.0,13.0,11.0,0.7818314824680298,0.6234898018587336
2019,4,17,11.0,15.0,7.0,12.0,13.0,14.0,19.0,11.285714285714286,11.0,0.9749279121818236,-0.22252093395631434
2019,4,18,7.0,11.0,15.0,7.0,12.0,13.0,14.0,9.714285714285714,7.0,0.43388373911755823,-0.900968867902419
2019,4,19,3.0,7.0,11.0,15.0,7.0,12.0,13.0,8.714285714285714,5.333333333333333,-0.433883739117558,-0.9009688679024191
2019,4,20,6.0,3.0,7.0,11.0,15.0,7.0,12.0,8.142857142857142,5.666666666666667,-0.9749279121818236,-0.2225209339563146
2019,4,21,8.0,6.0,3.0,7.0,11.0,15.0,7.0,8.142857142857142,7.0,-0.7818314824680299,0.6234898018587334
2019,4,22,7.0,8.0,6.0,3.0,7.0,11.0,15.0,7.285714285714286,8.0,0.0,1.0
2019,4,23,9.0,7.0,8.0,6.0,3.0,7.0,11.0,7.571428571428571,9.666666666666666,0.7818314824680298,0.6234898018587336
2019,4,24,13.0,9.0,7.0,8.0,6.0,3.0,7.0,7.571428571428571,9.666666666666666,0.9749279121818236,-0.22252093395631434
2019,4,25,7.0,13.0,9.0,7.0,8.0,6.0,3.0,9.428571428571429,12.0,0.43388373911755823,-0.900968867902419
2019,4,26,16.0,7.0,13.0,9.0,7.0,8.0,6.0,9.857142857142858,10.666666666666666,-0.433883739117558,-0.9009688679024191
2019,4,27,9.0,16.0,7.0,13.0,9.0,7.0,8.0,10.142857142857142,11.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,4,28,10.0,9.0,16.0,7.0,13.0,9.0,7.0,10.0,8.333333333333334,-0.7818314824680299,0.6234898018587334
2019,4,29,6.0,10.0,9.0,16.0,7.0,13.0,9.0,10.142857142857142,8.666666666666666,0.0,1.0
2019,4,30,10.0,6.0,10.0,9.0,16.0,7.0,13.0,9.857142857142858,9.0,0.7818314824680298,0.6234898018587336
2019,5,1,11.0,10.0,6.0,10.0,9.0,16.0,7.0,10.142857142857142,10.0,0.9749279121818236,-0.22252093395631434
2019,5,2,9.0,11.0,10.0,6.0,10.0,9.0,16.0,9.571428571428571,10.666666666666666,0.43388373911755823,-0.900968867902419
2019,5,3,12.0,9.0,11.0,10.0,6.0,10.0,9.0,10.285714285714286,11.666666666666666,-0.433883739117558,-0.9009688679024191
2019,5,4,14.0,12.0,9.0,11.0,10.0,6.0,10.0,10.714285714285714,13.0,-0.9749279121818236,-0.2225209339563146
2019,5,5,13.0,14.0,12.0,9.0,11.0,10.0,6.0,11.285714285714286,12.333333333333334,-0.7818314824680299,0.6234898018587334
2019,5,6,10.0,13.0,14.0,12.0,9.0,11.0,10.0,11.571428571428571,11.666666666666666,0.0,1.0
2019,5,7,12.0,10.0,13.0,14.0,12.0,9.0,11.0,11.0,9.666666666666666,0.7818314824680298,0.6234898018587336
2019,5,8,7.0,12.0,10.0,13.0,14.0,12.0,9.0,11.0,9.333333333333334,0.9749279121818236,-0.22252093395631434
2019,5,9,9.0,7.0,12.0,10.0,13.0,14.0,12.0,10.285714285714286,7.666666666666667,0.43388373911755823,-0.900968867902419
2019,5,10,7.0,9.0,7.0,12.0,10.0,13.0,14.0,9.428571428571429,8.0,-0.433883739117558,-0.9009688679024191
2019,5,11,8.0,7.0,9.0,7.0,12.0,10.0,13.0,9.571428571428571,9.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,5,12,14.0,8.0,7.0,9.0,7.0,12.0,10.0,9.428571428571429,10.333333333333334,-0.7818314824680299,0.6234898018587334
