year,weekofyear,lag_1,lag_2,lag_3,lag_52,rolling_mean_3
2019,48,120.0,116.0,108.0,91.0,113.0
2019,49,103.0,120.0,116.0,60.0,112.66666666666667
2019,50,115.0,103.0,120.0,78.0,111.33333333333333
2019,51,116.0,115.0,103.0,65.0,114.0
2019,52,111.0,116.0,115.0,62.0,107.33333333333333
2019,1,22.0,27.0,32.0,20.0,27.666666666666668
2019,2,34.0,22.0,27.0,19.0,23.333333333333332
2019,3,14.0,34.0,22.0,30.0,24.0
2019,4,24.0,14.0,34.0,15.0,18.666666666666668
2019,5,18.0,24.0,14.0,21.0,20.333333333333332
2019,6,19.0,18.0,24.0,18.0,19.666666666666668
2019,7,22.0,19.0,18.0,43.0,24.0
2019,8,31.0,22.0,19.0,23.0,23.666666666666668
2019,9,18.0,31.0,22.0,28.0,26.333333333333332
2019,10,30.0,18.0,31.0,10.0,21.0
2019,11,15.0,30.0,18.0,24.0,21.0
2019,12,18.0,15.0,30.0,19.0,20.666666666666668
2019,13,29.0,18.0,15.0,23.0,21.333333333333332
2019,14,17.0,29.0,18.0,18.0,28.333333333333332
2019,15,39.0,17.0,29.0,28.0,28.0
2019,16,28.0,39.0,17.0,27.0,28.333333333333332
2019,17,18.0,28.0,39.0,25.0,23.666666666666668
2019,18,25.0,18.0,28.0,18.0,21.666666666666668
2019,19,22.0,25.0,18.0,27.0,24.0
2019,20,25.0,22.0,25.0,30.0,23.0
2019,21,22.0,25.0,22.0,28.0,27.333333333333332
2019,22,35.0,22.0,25.0,35.0,27.0
2019,23,24.0,35.0,22.0,23.0,27.666666666666668
2019,24,24.0,24.0,35.0,30.0,26.666666666666668
2019,25,32.0,24.0,24.0,30.0,28.333333333333332
2019,26,29.0,32.0,24.0,21.0,29.666666666666668
2019,27,28.0,29.0,32.0,29.0,28.333333333333332
2019,28,28.0,28.0,29.0,16.0,31.333333333333332
2019,29,38.0,28.0,28.0,31.0,35.333333333333336
2019,30,40.0,38.0,28.0,34.0,42.333333333333336
2019,31,49.0,40.0,38.0,29.0,48.0
2019,32,55.0,49.0,40.0,15.0,45.333333333333336
2019,33,32.0,55.0,49.0,15.0,46.0
2019,34,51.0,32.0,55.0,22.0,40.0
2019,35,37.0,51.0,32.0,24.0,40.333333333333336
2019,36,33.0,37.0,51.0,20.0,32.0
2019,37,26.0,33.0,37.0,28.0,34.0
2019,38,43.0,26.0,33.0,20.0,42.0
2019,39,57.0,43.0,26.0,42.0,48.333333333333336
2019,40,45.0,57.0,43.0,50.0,51.333333333333336
2019,41,52.0,45.0,57.0,31.0,49.666666666666664
2019,42,52.0,52.0,45.0,17.0,55.333333333333336
2019,43,62.0,52.0,52.0,23.0,58.666666666666664
2019,44,62.0,62.0,52.0,29.0,57.0
2019,45,47.0,62.0,62.0,27.0,46.666666666666664
2019,46,31.0,47.0,62.0,24.0,44.0
2019,47,54.0,31.0,47.0,25.0,44.333333333333336
2019,48,48.0,54.0,31.0,28.0,50.333333333333336
2019,49,49.0,48.0,54.0,24.0,47.666666666666664
2019,50,46.0,49.0,48.0,32.0,48.0
2019,51,49.0,46.0,49.0,27.0,45.0
2019,52,40.0,49.0,46.0,22.0,49.666666666666664
